event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
369424946,true,2009-04-13 15:00:00.000,-10.21283,54.121,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424947,true,2009-04-13 17:00:00.000,-10.2125,54.11917,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424948,true,2009-04-13 19:00:00.000,-10.21367,54.11933,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424949,true,2009-04-13 21:00:00.000,-10.21483,54.11917,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424950,true,2009-04-13 23:00:00.000,-10.21817,54.1185,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424951,true,2009-04-14 03:00:00.000,-10.21917,54.11767,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424952,true,2009-04-14 05:00:00.000,-10.21933,54.1175,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424953,true,2009-04-14 07:00:00.000,-10.21167,54.11917,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424954,true,2009-04-14 09:00:00.000,-10.21167,54.121,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424955,true,2009-04-14 11:00:00.000,-10.21017,54.1195,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424956,true,2009-04-14 13:00:00.000,-10.2135,54.11917,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424957,true,2009-04-14 15:00:00.000,-10.21317,54.11917,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424958,true,2009-04-14 17:00:00.000,-10.21317,54.11933,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424959,true,2009-04-14 19:00:00.000,-10.21233,54.119,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424960,true,2009-04-14 21:00:00.000,-10.217,54.11883,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424961,true,2009-04-14 23:00:00.000,-10.2175,54.118,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424962,true,2009-04-15 03:00:00.000,-10.21583,54.11883,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424963,true,2009-04-15 05:00:00.000,-10.21283,54.11933,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424964,true,2009-04-15 07:00:00.000,-10.21267,54.119,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
